iter	Passed	Remaining
649	884	476
650	885	474
651	886	473
652	887	471
653	888	470
654	889	468
655	890	467
656	891	465
657	892	464
658	894	462
659	895	461
660	897	460
661	900	459
662	902	458
663	902	456
664	904	455
665	905	454
666	906	452
667	906	450
668	907	448
669	908	447
670	908	445
671	909	443
672	910	442
673	910	440
674	915	440
675	916	439
676	918	438
677	922	438
678	925	437
679	933	439
680	935	438
681	936	436
682	940	436
683	945	436
684	946	435
685	949	434
686	951	433
687	953	432
688	954	430
689	955	429
690	955	427
691	956	425
692	956	423
693	959	423
694	961	421
695	964	421
696	965	419
697	966	417
698	966	416
699	967	414
700	970	414
701	971	412
702	972	410
703	978	411
704	981	410
705	984	409
706	985	408
707	986	406
708	990	406
709	993	405
710	995	404
711	996	402
712	996	401
713	997	399
714	998	397
715	998	396
716	999	394
717	1000	393
718	1001	391
719	1002	389
720	1002	387
721	1003	386
722	1003	384
723	1005	383
724	1006	381
725	1008	380
726	1010	379
727	1012	378
728	1013	376
729	1013	374
730	1014	373
731	1014	371
732	1015	370
733	1016	368
734	1018	367
735	1021	366
736	1022	365
737	1023	363
738	1024	361
739	1025	360
740	1026	358
741	1027	357
742	1028	355
743	1029	354
744	1031	352
745	1032	351
746	1033	350
747	1038	349
748	1039	348
749	1042	347
750	1043	345
751	1044	344
752	1046	343
753	1048	341
754	1049	340
755	1052	339
756	1053	338
757	1054	336
758	1055	335
759	1057	333
760	1057	332
761	1058	330
762	1059	329
763	1060	327
764	1061	326
765	1061	324
766	1063	322
767	1063	321
768	1065	319
769	1066	318
770	1067	317
771	1069	315
772	1070	314
773	1071	312
774	1072	311
775	1073	310
776	1075	308
777	1075	306
778	1076	305
779	1077	303
780	1078	302
781	1079	300
782	1080	299
783	1081	297
784	1083	296
785	1084	295
786	1085	293
787	1086	292
788	1087	290
789	1088	289
790	1089	287
791	1090	286
792	1091	284
793	1092	283
794	1094	282
795	1095	280
796	1096	279
797	1097	277
798	1098	276
799	1099	274
800	1100	273
801	1101	271
802	1101	270
803	1103	268
804	1104	267
805	1105	266
806	1106	264
807	1107	263
808	1107	261
809	1109	260
810	1111	258
811	1112	257
812	1113	256
813	1114	254
814	1116	253
815	1117	252
816	1119	250
817	1120	249
818	1121	247
819	1122	246
820	1124	245
821	1125	243
822	1127	242
823	1127	240
824	1128	239
825	1129	237
826	1130	236
827	1131	234
828	1132	233
829	1133	232
830	1134	230
831	1135	229
832	1136	227
833	1137	226
834	1138	224
835	1140	223
836	1141	222
837	1142	220
838	1144	219
839	1145	218
840	1145	216
841	1146	215
842	1146	213
843	1147	212
844	1148	210
845	1149	209
846	1150	207
847	1151	206
848	1152	204
849	1154	203
850	1156	202
851	1157	201
852	1158	199
853	1159	198
854	1160	196
855	1161	195
856	1162	193
857	1163	192
858	1164	191
859	1164	189
860	1165	188
861	1165	186
862	1166	185
863	1167	183
864	1169	182
865	1169	181
866	1170	179
867	1170	178
868	1171	176
869	1173	175
870	1173	173
871	1174	172
872	1175	170
873	1175	169
874	1176	168
875	1178	166
876	1179	165
877	1179	163
878	1180	162
879	1181	161
880	1182	159
881	1183	158
882	1184	156
883	1185	155
884	1186	154
885	1187	152
886	1188	151
887	1189	150
888	1190	148
889	1191	147
890	1192	145
891	1194	144
892	1195	143
893	1197	141
894	1199	140
895	1200	139
896	1201	138
897	1203	136
898	1204	135
899	1205	133
900	1206	132
901	1208	131
902	1209	129
903	1209	128
904	1211	127
